repo_name,repo_description,file,api_title,api_description
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AssetAndLiabilityManagement.yaml,Asset And Liability Management,The unit overseeing the  banks asset & liability policies and position
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",BranchLocationOperations.yaml,Branch Location Operations,"The day to day administration of branch activity, including teller assignment and cash handling oversight"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerBehaviorModels.yaml,Customer Behavior Models,"This service domain handles the design and maintenance of a portfolio of customer behavior models that might be used in all aspects of customer relationship development, sales, servicing and product fulfillment"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SuitabilityChecking.yaml,Suitability Checking,Confirm that all involved counterparties are suitable for a proposed market trade.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ManagementManual.yaml,Management Manual,"Develop, maintain and promulgate the management manual of required procedures and guidelines. Provide support in its reference and interpretation as appropriate"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerBilling.yaml,Customer Billing,"This service domains provides a central service to compose, issue and track customer billing and invoices"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerAccessEntitlement.yaml,Customer Access Entitlement,This service domain maintains the details of the allowed channel/device based access to products and services that the customer has in place.  This profile is referenced in servicing and fulfillment activity and may include customer preferences and access limits/constraints that span multiple products.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PromotionalEvents.yaml,Promotional Events,"Develop the plan for and oversee promotional event activity, including budget and resource management"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ACHOperations.yaml,ACH Operations,This service domain operates the Automated Clearing House (ACH) access gateway between the bank and the ACH service provider
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ECMAndDCM.yaml,ECM And DCM,"Supports the specification, pricing and issuance of equity and debt (bond) primary capital market products for corporate financing services"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardCase.yaml,Card Case,"This service domain handles the processing of a customer card case, typically a disputed charge"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ComplianceReporting.yaml,Compliance Reporting,This service domain administers and orchestrates the tasks required to apply and report on internal audit control and reporting activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardCollections.yaml,Card Collections,This service domain administers the recovery of outstanding amounts from cancelled card accounts through internal or external collection agencies.  This may involve negotiating payment terms and/or interest write-downs.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardTransactionCapture.yaml,Card Transaction Capture,A distributed facility to capture card transactions at the point of sale
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ContactCenterOperations.yaml,Contact Center Operations,Administer the day to day activity in the contact center - allocate positions and track staff availability and performance
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Commissions.yaml,Commissions,The service domain processes commissions for transactions for eligible employees
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FiduciaryAgreement.yaml,Fiduciary Agreement,An agreement where the bank agrees to act on behalf of the customer in a financial matter and in accordance with the agreement terms
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MerchantAcquiringFacility.yaml,Merchant Acquiring Facility,"This service domain orchestrates the activities related to Merchant fulfillment, Merchant Account maintenance, Merchant transactional activities and settlement, including the billing of merchant fees and charges."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AccountsReceivable.yaml,Accounts Receivable,This service domain handles accounts receivable for invoices issue by the bank to customers and partners. It includes follow-up and resolution activity for delayed/missed payments
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",GuidelineCompliance.yaml,Guideline Compliance,"This service domain develops and applies a portfolio of guideline compliance tests to confirm adherence to bank and regulator imposed internal procedures. Tests may be made on complete transaction data or a meaningful samples as appropriate to mitigate exposure to non-compliant behaviors. Compliance checks may be in response to a schedule, a specific request as part of normal processing or may be initiated randomly as an oversight activity"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SalesProductAgreement.yaml,Sales Product Agreement,This service domain maintains a structured legal agreement defining the contractual terms and conditions for an in-force product for a customer. It is subordinate to the customer's master agreement that is maintained by the Customer Agreement service domain
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductInventoryItemManagement.yaml,Product Inventory Item Management,Maintain and distribute product inventory
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FinancialStatementAssessment.yaml,Financial Statement Assessment,"This Service Domain supports a range of financial analyses that can be used to extract specific insights (e.g. valuations, liquidity, risk, market sensitivities) from an entity's financial statements"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ServicingActivityAnalysis.yaml,Servicing Activity Analysis,This service domain analyzes servicing activity to support continual service improvement
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductSalesSupport.yaml,Product Sales Support,This Service Domain administers customer access to product specialists
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerProposition.yaml,Customer Proposition,This Service Domain maintains bank and customer defined requirements spanning all products and services
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",QuoteManagement.yaml,Quote Management,This service domain handles the procedure used by traders to obtain and selecting quotes from market makers 
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorrespondentBankRelationshipManagement.yaml,Correspondent Bank Relationship Management,"This Service Domain manages correspondent bank relations, ensuring reciprocity and developing business where possible"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PointofService.yaml,Point of Service,"This service domain operates servicing positions within the bank. It administers all media connections, inventory holdings (e.g. cash), provides access to support utilities and tracks servicing activity -e.g. time spent, activity logs, capturing servicing events including commission and training related actions. In cases servicing positions can be automated"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ChannelActivityHistory.yaml,Channel Activity History,This service domains consolidates and captures customer channel usage activity to support channel activity analysis and also can be referenced for customer access authorization and routing decisions
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Factoring.yaml,Factoring,This Service Domain supports a factoring service for corporate customers enabling them to convert accounts receivable into immediate funds at a discount
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SecuritiesPositionKeeping.yaml,Securities Position Keeping,This service domain maintains a securities transaction log to support securities investment activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PartyRoutingProfile.yaml,Party Routing Profile,"This service domain maintains a small profile of key indicators for a customer that is referenced during customer interactions to facilitate routing, servicing and product/service fulfillment decisions. This can include status (such as account in arrears), ratings (such as high value customer) and alerts (such possible fraud activity detected)"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MarketResearch.yaml,Market Research,"This service domain handles the capture of market research from multiple external sources. This can include live feeds, analysis and reports in any form. The information is classified/catalogued and stored for retrieval."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ServicingOrder.yaml,Servicing Order,This service domain handles the processing of a customer servicing request as a predefined procedure. A range of standard servicing requests can be supported. The process can include a check of permissions when the request is made by a third party/service provider
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporateTaxAdvisory.yaml,Corporate Tax Advisory,"A fee or commission based product providing tax specific assessments, advice and guidance for corporate customers"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",DocumentServices.yaml,Document Services,The Document Services Service Domain manages the creation and maintenance of documents throughout the bank.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PublicOffering.yaml,Public Offering,"This Service Domain supports a broad range of complex financial, accounting and regulatory actions involved in providing advice and practical support to companies going public and/or raising additional capital through the issuance of publicly traded securities"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",IntellectualPropertyPortfolio.yaml,Intellectual Property Portfolio,Administer the bank's intellectual property assets
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InvestmentAccount.yaml,Investment Account,"This service domain handles the non-cash holdings positions for a customer, covering multiple instruments as necessary"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MarketInformationManagement.yaml,Market Information Management,Market information management consolidates and improves market information from multiple sources in order to build up a bank knowledge base in targeted areas
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TransactionAuthorization.yaml,Transaction Authorization,"This service domain handles risk based authorization for interactive customer transactions. This combines the context (channel) transaction, customer details and recent activity analysis as appropriate. The authorization may require a specific level of party/customer authentication to get approval."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PaymentRailOperations.yaml,Payment Rail Operations,"This Service Domain handles the operational interface with payment service providers, formatting outbound transactions and onward routing inbound transactions during scheduled operating sessions. It also links to holding account facilities for net payment handling"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductBrokerAgreement.yaml,Product Broker Agreement,This service domain maintains product broker contractual and service level agreements and tracks and confirms compliance and service related activity/volume goals when necessary
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",LeasingItemAdministration.yaml,Leasing Item Administration,Track the status of the assets underlying leasing agreements as they represent collateral items that could be accessed in the event of account recovery
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PositionManagement.yaml,Position Management,The Service Domain tracks the bank's consolidated financial positions for major customers and complex market conditions
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ChequeProcessing.yaml,Cheque Processing,"Handle the processing of paper cheques, generating financial transactions for processing"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CentralCashHandling.yaml,Central Cash Handling,"Track cash inventory, project demand and allocate inventory across the branch/ATM network"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",BrokeredProduct.yaml,Brokered Product,This Service Domain oversees all activities associated with the coordinated delivery of 3rd party products and services
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FinancialMarketAnalysis.yaml,Financial Market Analysis,Provide different types of financial market analysis using available financial market information and research
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TraderPositionOperations.yaml,Trader Position Operations,This Service Domain supports the activities of individual traders working within a trading book group
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",LocationDataManagement.yaml,Location Data Management,This service domain maintain details of the use and state of locations of interest to the bank. This can include both physical and virtual addresses. It is used to check for valid use and for sales/marketing activities
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",Underwriting.yaml,Underwriting,This service domain manages the underwriting decision process for products as appropriate (including many loan types and some insurance products)
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CurrencyExchange.yaml,Currency Exchange,Service Domain supports over the counter currency exchange
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",StockLendingandRepos.yaml,Stock Lending and Repos,This Service Domain supports the bank offering tri-party repo transactions made between its customers to support their short term capital management requirements
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerProductAndServiceEligibility.yaml,Customer Product And Service Eligibility,This Service Domain maintains a list of products and services for which a customer is eligible.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SystemDevelopment.yaml,System Development,"Develop new, enhance existing applications and integrate package based systems solutions"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SegmentDirection.yaml,Segment Direction,Define market segments and develop and assess performance against the segment plan's performance goals
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CounterpartyAdministration.yaml,Counterparty Administration,This Service Domain maintains key counterparty reference information used in the clearing and settlement of wholesale trading
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ATMNetworkOperations.yaml,ATM Network Operations,"Handling the automated operation of the ATM network and linked devices, including tracing physical cash and document movements"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",eBranchOperations.yaml,eBranch Operations,This service domain operates the bank's on-line web based electronic branch capabilities - controlling access and load balancing across available communications and processing resources to optimize performance/availability
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MutualFundAdministration.yaml,Mutual Fund Administration,The Mutual Fund Administration Service Domain handles all aspects of the set-up and operation of mutual funds that can be offered to the bank's general (non-accredited) customers
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerProductandServiceDirectory.yaml,Customer Product and Service Directory,This Service Domain maintains the most important details of all the products and services that a customer has acquired from the bank.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerCampaignManagement.yaml,Customer Campaign Management,Assess the coverage and impact of internal/customer campaigns and redirect campaign development and execution activity accordingly
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporateTreasury.yaml,Corporate Treasury,This service domain orchestrates the consolidation and presentation of summary transaction details in order to assemble a timely and accurate view of the overall treasury position of the Bank at any one time. It is also responsible for determining the different interest and exchange rates applied to different products and services within the bank
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SubCustodianAgreement.yaml,Sub Custodian Agreement,This Service Domain establishes and maintains the terms governing sub custodian relationship
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProspectCampaignDesign.yaml,Prospect Campaign Design,Design and refine prospect campaign specifications based on their impact
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",RegulatoryReporting.yaml,Regulatory Reporting,This service domain administers and orchestrates the tasks required to meet the bank's regulatory reporting obligations
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CardTerminalAdministration.yaml,Card Terminal Administration,"This service domain administers the POS Network including the inventory, terminal characteristics, deployment and status of the POS devices."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",LetterofCredit.yaml,Letter of Credit,This Service Domain handles the pricing and issuance of letters of credit to its corporate customers in support of their international trading requirements
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerAgreement.yaml,Customer Agreement,This service domain maintains the master customer agreement/legal contract. Note that a customer can be a complex corporate entity with many subsidiaries operating in different geopolitical areas. The customer agreement is linked to as many Sales Product Agreements as needed for all in-force products
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PartyAuthentication.yaml,Party Authentication,This service domain provides a customer identify authentication service covering all channels and devices to support access to the banks products and services
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InformationProviderOperation.yaml,Information Provider Operation,
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductCombination.yaml,Product Combination,Product Combination supports bundled products applying necessary constraints on embedded product fulfillment and ensuring product performance analysis takes correct account of embedded products' contribution
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",KnowledgeExchange.yaml,Knowledge Exchange,"Consolidate, classify and provide structured access to consolidated market intelligence, product and procedural knowledge gained from the workforce in the execution of business to inform business activity and support continual improvement"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MerchandisingLoan.yaml,Merchandising Loan,Fulfillment of loan product used in the purchase of a larger merchandise item such as a car or boat. The purchased item is typically treated as collateral for the loan
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CreditRiskModels.yaml,Credit Risk Models,This service domain handles the design and maintenance of a portfolio of credit models that are used in all aspects of customer credit assessments
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TermDeposit.yaml,Term Deposit,"A Term Deposit is an interest bearing account into which a customer can place a fixed amount of funds for a fixed amount of time. The Service Domain handles the opening, servicing and maturity processing of a Term Deposit.     "
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AssetSecuritization.yaml,Asset Securitization,Determine and select assets for securitization as needed to maintain and optimize the Bank's portfolio. Administer the securitization process
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",HedgeFundAdministration.yaml,Hedge Fund Administration,The Hedge Fund Administration Service Domain handles all aspects of the set-up and operation of a hedge fund that is offered to accredited investors within the bank's customer base
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",DirectDebitsService.yaml,Direct Debits Service,The Direct Debits Service Service Domain manages the operational details of a Direct Debits Service agreement between the bank and a corporate customer (creditor). 
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProspectCampaignExecution.yaml,Prospect Campaign Execution,Execute a prospect campaign (version) and track and respond to impact
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ProductDirectory.yaml,Product Directory,"This service domain maintains a comprehensive directory of the bank's products and services. It can be referenced to obtain product details used to support activities including product selection, sales and marketing, on-boarding, servicing and product fulfillment."
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerCreditRating.yaml,Customer Credit Rating,This service domain maintains and administers the bank's credit assessment for customers based on consolidated internal data and optionally by referencing external credit agency reports
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PaymentInitiation.yaml,Payment Initiation,This service domain provides a customer payment service. It captures the payer and payee details and other key properties of the payment and orchestrates the transaction. It provides support for repeating/scheduled payments
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CreditManagement.yaml,Credit Management,This service domain provides a bank-wide/oversight function to qualify credit pricing for offered products and services to reflect the bank's appetite to write the business. This decision can override the standard product pricing procedure
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerCampaignDesign.yaml,Customer Campaign Design,Design and refine customer campaign specifications based on their impact
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PaymentOrder.yaml,Payment Order,"This service domain handles the bank-side processing of funds transfers, making the necessary bank and regulatory checks on the involved parties and applying their payment preferences where appropriate"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporateFinance.yaml,Corporate Finance,This Service Domain handles the provision of a broad range of financial advisory services to corporate clients
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerCampaignExecution.yaml,Customer Campaign Execution,Execute a customer campaign (version) and track and respond to impact
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CustomerTaxHandling.yaml,Customer Tax Handling,This service domain handles consumer tax reporting obligations including the consolidation and reporting of customer tax related financial activity
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporateAction.yaml,Corporate Action,This Service Domain supports the various custodial tasks associated with processing associated corporate actions for customer's with securities held at the bank
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",TradeClearing.yaml,Trade Clearing,This Service Domain handles the back office processes that confirm and notify interested parties that securities and funds are available as traded in anticipation of settlement processing
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ContactHandler.yaml,Contact Handler,This service domain handles a customer's interactive contact with the bank. This will typically involve launching of one or more channel/device specific dialogue sessions as necessary within the customer contact
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",AccountReconciliation.yaml,Account Reconciliation,This Service Domain handles account reconciliation tasks
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",PrivatePlacement.yaml,Private Placement,This Service Domain provides the complete range of functions involved in providing private placement services to corporate customers.
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",SecuritiesFailsProcessing.yaml,Securities Fails Processing,This Service Domain handles the resolution of clerical and processing errors that lead to failures in the securities trade clearing and settlement processes
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",MortgageLoan.yaml,Mortgage Loan,Fulfillment of a loan product for  the purpose of property purchase. Note different servicing patterns can be applied to interest calculations and principle and interest repayments
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",CorporateLoan.yaml,Corporate Loan,This service domain handles the fulfillment of a corporate loan product. This includes the initial set-up of the loan facility and the completion of scheduled and ad-hoc product processing tasks
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",FraudResolution.yaml,Fraud Resolution,This service domain sets up and processes a fraud case resulting from fraud behavior that has been detected during production processing
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ContactCenterManagement.yaml,Contact Center Management,Oversee the assignment and operation of the customer contact center
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",ChannelActivityAnalysis.yaml,Channel Activity Analysis,"This service domain tracks and analyzes channel activity to support relationship development, to detect unwanted behavior, possible fraud, and to constrain channel use as necessary (for example tracking usage frequency and cumulative transaction amounts within a period)"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InvestmentPortfolioPlanning.yaml,Investment Portfolio Planning,Agree the policies and required make-up of an investment portfolio and ensure all required bank and regulatory terms and conditions are addressed
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",IssuedDeviceAdministration.yaml,Issued Device Administration,"This service domain administers the issuance of authentication tokens to customers and third party service providers. Tokens here include physical devices such as cards, fobs, readers and intangible 'devices' such as passwords and secret questions. Administration includes version tracking, replacement and duration/frequency limits. Specific product/service access permissions may be associated with an issued token when appropriate"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",VirtualAccount.yaml,Virtual Account,A Virtual Account is a bank account that is defined on an underlying real account. It can receive and send payments for the underlying account while behaving towards the outside as a separate account. 
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",DocumentDirectory.yaml,Document Directory,This Service Domain provides a directory based categorization and storage mechanism for documents created and referenced by the bank
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",NotionalPooling.yaml,Notional Pooling,"Notional pooling allows corporate customer with multiple active accounts to pool credit and debit balances to provide a single centralized liquidity position and to minimize interest expense, simplify cash management and retain a degree of local autonomy to the accounts"
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",eBranchManagement.yaml,eBranch Management,Oversee the configuration and operation of the e-branch channel facilities
public,"This is a repository of BIAN artefacts, currently the BIAN Semantic APIs",InteractiveHelp.yaml,Interactive Help,Operate the automated facility that provides interactive context sensitive servicing guidance to employees and self-serve customers
