Business Area,Business Domain,Service Domain,API Title,API_Description
Operations and Execution,Payments,Payment Rail Operations,Payment Rail Operations,"This Service Domain handles the operational interface with payment service providers, formatting outbound transactions and onward routing inbound transactions during scheduled operating sessions. It also links to holding account facilities for net payment handling"
Operations and Execution,Product and Price,Product Broker Agreement,Product Broker Agreement,This service domain maintains product broker contractual and service level agreements and tracks and confirms compliance and service related activity/volume goals when necessary
Operations and Execution,Loans and Deposits,Leasing Item Administration,Leasing Item Administration,Track the status of the assets underlying leasing agreements as they represent collateral items that could be accessed in the event of account recovery
Operations and Execution,Financial Markets,Position Management,Position Management,The Service Domain tracks the bank's consolidated financial positions for major customers and complex market conditions
Operations and Execution,Payments,Cheque Processing,Cheque Processing,"Handle the processing of paper cheques, generating financial transactions for processing"
Operations and Execution,Cash/Currency,Central Cash Handling,Central Cash Handling,"Track cash inventory, project demand and allocate inventory across the branch/ATM network"
Operations and Execution,Product and Price,Brokered Product,Brokered Product,This Service Domain oversees all activities associated with the coordinated delivery of 3rd party products and services
Operations and Execution,Financial Markets,Financial Market Analysis,Financial Market Analysis,Provide different types of financial market analysis using available financial market information and research
Operations and Execution,Financial Markets,Trader Position Operations,Trader Position Operations,This Service Domain supports the activities of individual traders working within a trading book group
Reference Data,Party,Location Data Management,Location Data Management,This service domain maintain details of the use and state of locations of interest to the bank. This can include both physical and virtual addresses. It is used to check for valid use and for sales/marketing activities
Risk and Compliance,Credit Risk,Underwriting,Underwriting,This service domain manages the underwriting decision process for products as appropriate (including many loan types and some insurance products)
Operations and Execution,Cash/Currency,Currency Exchange,Currency Exchange,Service Domain supports over the counter currency exchange
Operations and Execution,Financial Markets,Stock Lending and Repos,Stock Lending and Repos,This Service Domain supports the bank offering tri-party repo transactions made between its customers to support their short term capital management requirements
Operations and Execution,Customer Management,Customer Product And Service Eligibility,Customer Product And Service Eligibility,This Service Domain maintains a list of products and services for which a customer is eligible.
Operations and Execution,IT Management,System Development,System Development,"Develop new, enhance existing applications and integrate package based systems solutions"
Operations and Execution,Marketing,Segment Direction,Segment Direction,Define market segments and develop and assess performance against the segment plan's performance goals
Operations and Execution,Financial Markets,Counterparty Administration,Counterparty Administration,This Service Domain maintains key counterparty reference information used in the clearing and settlement of wholesale trading
Operations and Execution,Channels,ATM Network Operations,ATM Network Operations,"Handling the automated operation of the ATM network and linked devices, including tracing physical cash and document movements"
Operations and Execution,Channels,eB,eBranch Operations,This service domain operates the bank's on-line web based electronic branch capabilities - controlling access and load balancing across available communications and processing resources to optimize performance/availability
